Varietas,Tipe,Ketahanan Terhadap Penyakit,Kebutuhan Air,Kebutuhan Sinar Matahari,Umur Panen (Hari),Produktivitas (Ton/Hektar),Toleransi Suhu (°C),Kondisi Tanam,Altitude (m)
Kencana F1,Hibrida,Virus Gemini,Tinggi,Sedang,80-90,20-25,24-32,Dataran rendah-menengah,0-800
Bhaskara,Hibrida,Antraknosa,Sedang,Sedang,85-95,18-22,22-30,Dataran rendah-menengah,0-800
Dewata F1,Hibrida,Virus Kuning,Sedang,Tinggi,90-100,22-27,24-33,Dataran menengah-tinggi,500-1200
Maruyung Plus,Hibrida,Virus Gemini,Tinggi,Sedang,85-95,20-23,23-31,Dataran rendah-menengah,0-800
Absolut 69,Hibrida,Antraknosa,Tinggi,Tinggi,85-90,21-25,24-32,Dataran rendah-menengah,0-800
Ori 212,Hibrida,Virus Gemini,Sedang,Sedang,80-90,19-23,22-30,Dataran rendah-menengah,0-800
Kaliber,Hibrida,Patek,Sedang,Tinggi,85-95,21-24,24-33,Dataran menengah,400-1000
Master,Hibrida,Virus Kuning,Tinggi,Sedang,90-100,23-26,24-32,Dataran menengah-tinggi,500-1200
Taruna,Hibrida,Antraknosa,Sedang,Sedang,85-95,20-22,23-30,Dataran menengah,400-1000
Bara,Lokal,Virus Gemini,Sedang,Tinggi,90-100,18-20,24-32,Dataran rendah,0-500
Pelita,Lokal,Antraknosa,Sedang,Sedang,85-90,19-23,22-30,Dataran rendah-menengah,0-800
Kencana Putih,Hibrida,Virus Kuning,Tinggi,Tinggi,90-100,21-24,24-33,Dataran menengah-tinggi,500-1200
Hiyung,Lokal,Virus Gemini,Tinggi,Tinggi,85-95,22-25,24-32,Dataran rendah-menengah,0-800
Trisula,Lokal,Antraknosa,Sedang,Sedang,85-90,20-23,23-31,Dataran menengah,400-1000
Tit Super,Lokal,Virus Gemini,Tinggi,Tinggi,90-100,21-24,24-33,Dataran menengah-tinggi,500-1200
Darmais,Lokal,Antraknosa,Sedang,Sedang,85-95,19-22,23-30,Dataran menengah,400-1000
Primadona,Hibrida,Virus Kuning,Sedang,Tinggi,90-100,23-26,24-33,Dataran menengah-tinggi,500-12
